calendar_yr	customer_cd	master_customer_nm	LTOWB	RBC	PLTS
2025	N009N8LL05	UCHEATH LIFE LINE 5	41	59	
2025	N007WI3756	PHI WICKENBURG AZ	6	16	
2024	N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	1189	24322	7584
2025	N0065018	AIR METHODS THERMAL	22	36	
2024	N0075227	AIR METHODS BULLHEAD CITY	18	38	
2025	N0122415	NEW HANOVER REGIONAL MED CTR	87	13675	3669
2024	N007RB3294	PHI AIR MEDICAL RED BLUFF BASE	2	2	
2024	N009N8LL03	UCHEALTH LIFELINE 3	17	51	
2024	N0095311	AIR METHODS - CRETE	14	44	
2025	N003B4MCMA	ATRIUM HEALTH NAVICENT	193	10651	2027
2024	N0205179	AIR METHODS WILLCOX	18	34	
2025	N007MI3758	PHI MIAMI AZ	6	18	
2023	N002B19398	WESLEY MEDICAL CENTER	5	5276	950
2025	N02912034	SENTARA WILLIAMSBURG REGIONAL MED CENTER	26	1445	243
2025	N027B1CVMH	CONEMAUGH MEMORIAL MEDICAL CENTER	183	4988	844
2025	N053B0NOAR	UMMS-BALTIMORE WASHINGTON MEDICAL CENTER	4	4923	535
2024	N0122225	DUMC DUKE UNIVERSITY MEDICAL CENTER	123	32183	14310
2023	N035N1VCU	VCU MEDICAL CENTER	18	25563	11214
2025	N0065063	AIR METHODS BORREGO SPRINGS	19	37	
2023	N02911009	SENTARA VIRGINIA BEACH GENERAL HOSPITAL	8	3803	870
2025	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	364	11098	2544
2024	N053B0SNAI	SINAI HOSPITAL-BALTIMORE	18	6909	849
2025	N0207802	AIR METHODS - IDAHO FALLS	18	31	
2024			605		
2025	N0208003	AIR METHODS-CASPER RW	18	31	
2019	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	8	1676	916
2025	N0065002	AIR METHODS VICTORVILLE	26	37	
2022	N022NJSTJH	ST. JOSEPH'S UNIVERSITY MEDICAL CENTER	61	7749	1380
2025	N053B1HOWD	HOWARD UNIVERSITY HOSPITAL CORP.	17	3999	400
2024	N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	2	12982	7860
2023	N011B1BARN	BARNES-JEWISH HOSPITAL	26	39007	14113
2025	N003B2GWMD	NORTHSIDE HOSPITAL - GWINNETT	260	12335	2777
2024	N020B5STAH	SAINT ALPHONSUS MEDICAL GROUP NAMPA	72	1035	228
2024	N0065003	AIR METHODS HEMET	3	5	
2021	N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	68	16201	4341
2024	N053B1POTO	SENTARA NORTHERN VIRGINIA MEDICAL CENTER	37	2595	511
2022	N027B2LEWY	GEISINGER LEWISTOWN HOSPITAL	2	86	
2024	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	167	19586	3499
2022	N053B1GWUH	GEORGE WASHINGTON UNIV HOSP	2	8365	1373
2024	N003B1KENN	WELLSTAR KENNESTONE HOSPITAL	226	14902	2413
2025	N02934039	NAVAL HOSPITAL CAMP LEJEUNE	4	92	25
2023	N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	10	10177	3023
2025	N0065005	AIR METHODS OCEANSIDE	23	48	
2025	N024001090	ST VINCENT EVANSVILLE	2	2683	780
2024	N0115401	AIR METHODS GRANITE CITY	65	146	
2020	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	156	15204	1477
2023	N0041517	NSMC SALEM HOSPITAL	12	4333	636
2021	N035CCLB	CARILION CONSOLIDATED LABS	15	12640	2606
2023	N02920010	ECU HEALTH	9	1023	318
2020	N011B9REMC	RESEARCH MEDICAL CENTER-KANSAS CITY	3	4770	930
2025	N0095312	AIR METHODS - NORTH PLATTE (RW)	22	31	
2022	N02911021	SENTARA NORFOLK GENERAL HOSPITAL	8	12697	2307
2025	N027B2LTUN	UPMC ALTOONA	5	4522	1452
2020	N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	534	32916	8499
2025	N053DOSAC	SAC MEDICAL	229	401	
2024	N030B12001	GEISINGER MEDICAL CENTER - DANVILLE	549	3097	812
2025	N035B1LYNC	LYNCHBURG GENERAL HOSPITAL	94	6923	813
2024	N0041074	BOSTON MEDICAL CENTER	37	362	39
2023	N02933025	NAVAL MEDICAL CENTER PORTSMOUTH	10	450	279
2022	N053B0UMHC	UNIV OF MARYLAND HOSPITAL	42	29314	9931
2022	N022XAG	LEHIGH VALLEY CEDAR CREST	2	3087	153
2024	N016COL008	GRANT MEDICAL CENTER	199	6290	765
2019	N084B4MUIR	JOHN MUIR MED CTR-WALNUT CREEK CAMPUS	45	6160	1612
2023	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	74	5458	1360
2023	N0031135	HCA-MEMORIAL MEDICAL CENTER	22	10628	2375
2024	N0025433	AIR METHODS GARDEN CITY	10	33	
2024	N602181	METROPOLITAN BLOOD SERVICES	45	158346	31531
2019	N036B1MUSC	MEDICAL UNIVERSITY OF SC	6	22522	7142
2024	N022TEM	TEMPLE UNIVERSITY HOSPITAL	196	11695	1192
2025	N027S0WASH	MERITUS MEDICAL CENTER	60	3920	798
2020	N017RMMC	UNIVERSITY OF MINNESOTA MASONIC CHILDRENS HOSPITAL	45	1836	1260
2024	N020S98MDH	MCKAY-DEE HOSPITAL CENTER	275	3661	850
2024	N017EUCL	MAYO CLINIC HEALTH SYSTEM EAU CLAIRE	205	3555	1259
2024	N020B5STLM	ST LUKES MERIDIAN MEDICAL CTR	45	1718	519
2023	N013B5UMMC	UNIVERSITY OF MICHIGAN HOSPITALS	6	30545	15954
2022	N003B3ATHN	PIEDMONT ATHENS REGIONAL HOSPITAL	18	5877	1002
2025	N035B1GALE	HCA-LEWIS GALE HOSPITAL	40	4101	881
2018	N021P00001	OHSU HOSPITAL	89	15891	8260
2022	N006B3UCIM	UNIVERSITY OF CALIFORNIA, IRVINE MEDICAL CENTER	32	7339	4158
2024	N001001140	URMC-STRONG MEMORIAL HOSPITAL	232	20902	5973
2024	N0122305	HIGH POINT REGIONAL MEDICAL CENTER	83	3339	735
2021	N020B3SLMV	ST LUKES MAGIC VALLEY MEDICAL CENTER	16	1894	532
2025	N007ME3757	PHI MESA AZ	2	17	
2025	N049T0300F	BAYLOR SCOTT AND WHITE MEDICAL CTR-PLANO	3	2670	694
2023	N0095317	AIR METHODS CEDAR CITY	11	11	
2022	N038B7RILE	METHODIST HOSPITAL	12	250	
2023	N016COL010	MT CARMEL EAST HOSPITAL	8	5823	730
2023	N016COL013	RIVERSIDE METHODIST HOSPITAL	2	11007	1812
2023	N020B5STAL	SAINT ALPHONSUS REG MEDICAL CTR	380	4600	1257
2023	N0337018	SAINT FRANCIS HOSPITAL AND MEDICAL CENTER	11	7414	1706
2024	N006BZRIVE	RIVERSIDE COMMUNITY HOSPITAL	20	7058	1210
2025	N0176603	AIR METHODS BLACK HILLS LIFE FLIGHT - ROTARY WING	29	43	
2025	N0075214	AIR METHODS LAKE HAVASU CITY	20	30	
2021	N032B0MASO	ADVOCATE ILLINOIS MASONIC MEDICAL CENTER	24	3582	1503
2024	N036B1RICH	PRISMA HEALTH RICHLAND HOSPITAL	338	12000	2259
2025	N027B7WVUH	J.W. RUBY MEMORIAL HOSPITAL	400	14090	3787
2025	N0217520	AIR METHODS TAOS	15	33	
2023	N041BMCERS	UNIV OF MISS MED CNTR ER SERVICES	11	150	
2025	N0207506	AIR METHODS LAS CRUCES	34	70	
2022	N01812SPAR	UNIVERSITY OF MICHIGAN HEALTH - SPARROW LANSING	5	5106	1705
2024	N053B1WAHC	WASHINGTON HOSPITAL CENTER	157	17720	3156
2021	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	376	6015	1786
2025	N0122435	NORTHERN REGIONAL HOSPITAL	325	1394	74
2021	N022XHF	CAPITAL HEALTH SYSTEM-FULD CAMPUS	1	2330	474
2024	N0025434	AIR METHODS - LIBERAL	16	32	
2023	N009N8DHMC	DENVER HEALTH MEDICAL CENTER	308	5626	654
2025	N0122425	UNC MEDICAL CENTER	250	28594	6894
2025	N0041039	MASSACHUSETTS GENERAL HOSPITAL	218	23805	6901
2025	N0207503	AIR METHODS ALAMOGORDO	16	30	
2025	N038B6PARK	PARKVIEW REGIONAL MEDICAL CENTER	152	7704	2339
2025	N0535616	AIR METHODS GETTYSBURG	45	74	
2024	N0207902	AIR METHODS - YELLOWSTONE	11	23	
2023	N0065022	AIR METHODS HESPERIA	4	52	
2025	N0065064	AIR METHODS BAKERSFIELD	24	54	
2022	N029CHIPEN	HCA-CHIPPENHAM HOSPITAL	2	4661	798
2021	N049T1650T	BAYLOR SCOTT AND WHITE MED CTR-GRAPEVINE	11	3210	1650
2023	N006E63UCS	UC SAN DIEGO HEALTH - HILLCREST	108	6146	2728
2025	N021P00211	KADLEC REGIONAL MEDICAL CENTER	76	4909	1263
2024	N007DV3789	PHI DEER VALLEY AZ	4	5	
2023	N001AM006	AIR METHODS HORNELL	1	48	0
2022	N027B8TMCB	HERITAGE VALLEY BEAVER	17	3164	495
2025	N02911027	RIVERSIDE REGIONAL MEDICAL CENTER	83	6048	797
2024	N0115420	AIR METHODS SPARTA	18	34	
2024	N001AM009	AIR METHODS SENECA FALLS	15	50	
2025	N0305617	AIR METHODS - LANCASTER	27	42	
2024	N027STMA	ST MARY'S MEDICAL CENTER	248	5921	832
2022	N030B48001	GEISINGER WYOMING VALLEY MEDICAL CENTER	5	1978	185
2023	N022183	MILLER MEMORIAL BLOOD CENTER	22	497	3
2022	N049T3901T	MEDICAL CITY PLANO	66	9477	1401
2022	N006B9CELB	CEDARS-SINAI MEDICAL CENTER	38	14540	4711
2024	N009M8CHEY	CHEYENNE REGIONAL MEDICAL CENTER	26	26	28
2023	N017MANS	MAYO CLINIC HEALTH SYSTEM MANKATO	1	2565	619
2018	N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	513	20651	7750
2025	N0176608	AIR METHODS HOT SPRINGS	22	39	
2024	N030B7004H	PENN STATE HEALTH MILTON S HERSHEY MEDICAL CENTER	324	18391	6595
2025	N0115308	AIR METHODS FARMINGTON MO	19	40	
2025	N0217508	AIR METHODS ROSWELL	16	30	
2024	N009N8UCMC	UCHEALTH UNIVERSITY OF COLORADO HOSPITAL	257	5340	1817
2025	N027B9CAMC	CHARLESTON AREA MEDICAL CENTER	97	12562	2901
2025	N020S98VVM	VALLEY VIEW MEDICAL CENTER	80	1022	68
2023	N001AM005	AIR METHODS HARRIS	1	61	
2023	N041BRFIRE	BIRMINGHAM FIRE AND RESCUE	2	69	2
2025	N042C00019	METRO HEALTH MEDICAL CENTER-CLEVELAND	320	9615	1334
2025	N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	950	25684	8582
2024	N0095314	AIR METHODS - NORTH PLATTE (FW)	23	41	
2025	N088USNHGB	US NAVAL HOSPITAL GUANTANAMO BAY CUBA	4	4	
2020	N003B4MCMA	ATRIUM HEALTH NAVICENT	80	12134	1635
2025	N0205179	AIR METHODS WILLCOX	25	33	
2021	N002B19398	WESLEY MEDICAL CENTER	17	5812	1044
2023	N027B1CVMH	CONEMAUGH MEMORIAL MEDICAL CENTER	22	4292	664
2018	N035N1VCU	VCU MEDICAL CENTER	2	23367	8631
2024	N0065063	AIR METHODS BORREGO SPRINGS	18	38	
2022	N02911009	SENTARA VIRGINIA BEACH GENERAL HOSPITAL	4	3512	649
2018	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	103	10681	2810
2025			9		
2024	N0208003	AIR METHODS-CASPER RW	17	30	
2020	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	23	1523	664
2025	N001AM011	AIR METHODS TICONDEROGA	18	46	
2025	N022NJSTJH	ST. JOSEPH'S UNIVERSITY MEDICAL CENTER	191	5499	838
2020	N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	3	13210	5450
2019	N011B1BARN	BARNES-JEWISH HOSPITAL	9	46138	16597
2023	N0065003	AIR METHODS HEMET	2	49	
2020	N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	70	16066	4379
2025	N053B1POTO	SENTARA NORTHERN VIRGINIA MEDICAL CENTER	103	2509	489
2024	N027B2LEWY	GEISINGER LEWISTOWN HOSPITAL	46	135	154
2023	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	4	19226	3678
2025	N053B1GWUH	GEORGE WASHINGTON UNIV HOSP	336	8679	1435
2025	N017STIL	LAKEVIEW HOSPITAL	19	1183	122
2025	N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	638	9435	3136
2021	N020S98UVR	UTAH VALLEY HOSPITAL	41	2613	1163
2025	N084B5SJGH	SAN JOAQUIN GENERAL HOSPITAL	162	4945	594
2023	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	76	15904	3322
2024	N0041517	NSMC SALEM HOSPITAL	175	3899	686
2021	N02920010	ECU HEALTH	8	917	249
2022	N011B9REMC	RESEARCH MEDICAL CENTER-KANSAS CITY	4	5094	1138
2024	N0095312	AIR METHODS - NORTH PLATTE (RW)	22	37	
2021	N02911021	SENTARA NORFOLK GENERAL HOSPITAL	10	13421	2548
2022	N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	181	38184	9765
2023	N030B12001	GEISINGER MEDICAL CENTER - DANVILLE	66	3248	712
2024	N035B1LYNC	LYNCHBURG GENERAL HOSPITAL	82	6730	769
2021	N0041074	BOSTON MEDICAL CENTER	2	1876	43
2024	N02933025	NAVAL MEDICAL CENTER PORTSMOUTH	41	543	187
2024	N053B0UMHC	UNIV OF MARYLAND HOSPITAL	1129	28590	9769
2020	N022XAG	LEHIGH VALLEY CEDAR CREST	6	2876	856
2023	N016COL008	GRANT MEDICAL CENTER	20	7075	921
2025	N084B4MUIR	JOHN MUIR MED CTR-WALNUT CREEK CAMPUS	65	6128	1796
2021	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	18	6254	1479
2020	N0031135	HCA-MEMORIAL MEDICAL CENTER	11	10682	1793
2025	N0025433	AIR METHODS GARDEN CITY	16	29	
2025	N602181	METROPOLITAN BLOOD SERVICES	122	165144	34381
2024	N036B1MUSC	MEDICAL UNIVERSITY OF SC	96	26477	11184
2025	N055B3FIVE	ST BERNARDS FIVE RIVERS MEDICAL CENTER	3	419	
2024	N027S0WASH	MERITUS MEDICAL CENTER	28	4103	810
2018	N017RMMC	UNIVERSITY OF MINNESOTA MASONIC CHILDRENS HOSPITAL	14	4448	2714
2023	N020S98MDH	MCKAY-DEE HOSPITAL CENTER	148	3098	689
2025	N0176602	AIR METHODS BLACK HILLS LIFE FLIGHT - FIXED WING	20	35	
2024	N036B2VACO	VAMC COLUMBIA	1	749	33
2021	N003B3ATHN	PIEDMONT ATHENS REGIONAL HOSPITAL	6	6075	1018
2023	N021P00001	OHSU HOSPITAL	870	15570	9081
