calendar_yr	customer_cd	master_customer_nm	LTOWB	RBC	PLTS
2025	N053B0HOPK	JOHNS HOPKINS HOSPITAL	236	42176	15112
2023	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	5	1613	718
2024	N001AM011	AIR METHODS TICONDEROGA	14	43	
2024	N022NJSTJH	ST. JOSEPH'S UNIVERSITY MEDICAL CENTER	206	5420	752
2021	N011B1BARN	BARNES-JEWISH HOSPITAL	8	40924	14496
2025	N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	112	17007	4496
2025	N084UCDAV	UC DAVIS MEDICAL CENTER	373	15242	10198
2025	N027B2LEWY	GEISINGER LEWISTOWN HOSPITAL	33	172	157
2021	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	30	22249	4423
2021	N053B1GWUH	GEORGE WASHINGTON UNIV HOSP	11	8375	1010
2021	N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	29	8407	2618
2023	N020S98UVR	UTAH VALLEY HOSPITAL	284	2538	1195
2022	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	63	14799	2405
2021	N0041517	NSMC SALEM HOSPITAL	4	4434	665
2025	N02920010	ECU HEALTH	295	1750	760
2021	N011B9REMC	RESEARCH MEDICAL CENTER-KANSAS CITY	1	5799	1322
2024	N0065004	AIR METHODS FULLERTON	14	38	
2023	N02911021	SENTARA NORFOLK GENERAL HOSPITAL	6	14700	2540
2024	N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	1444	40958	11030
2022	N030B12001	GEISINGER MEDICAL CENTER - DANVILLE	20	2466	572
2020	N0041074	BOSTON MEDICAL CENTER	8	841	90
2021	N053B0UMHC	UNIV OF MARYLAND HOSPITAL	89	33300	10168
2024	N022XAG	LEHIGH VALLEY CEDAR CREST	114	4503	608
2022	N016COL008	GRANT MEDICAL CENTER	5	6158	787
2022	N084B4MUIR	JOHN MUIR MED CTR-WALNUT CREEK CAMPUS	44	5777	1370
2024	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	130	5034	1327
2022	N0031135	HCA-MEMORIAL MEDICAL CENTER	12	11992	2022
2021	N036B1MUSC	MEDICAL UNIVERSITY OF SC	81	19880	7059
2020	N021P01155	HARBORVIEW MEDICAL CENTER	12	32	292
2019	N017RMMC	UNIVERSITY OF MINNESOTA MASONIC CHILDRENS HOSPITAL	88	4322	3015
2022	N020S98MDH	MCKAY-DEE HOSPITAL CENTER	30	2734	589
2024	N0176602	AIR METHODS BLACK HILLS LIFE FLIGHT - FIXED WING	26	31	
2023	N003B3ATHN	PIEDMONT ATHENS REGIONAL HOSPITAL	19	6070	969
2020	N021P00001	OHSU HOSPITAL	574	15603	8394
2024	N006B3UCIM	UNIVERSITY OF CALIFORNIA, IRVINE MEDICAL CENTER	200	11802	6236
2022	N001001140	URMC-STRONG MEMORIAL HOSPITAL	7	20933	6817
2022	N020B3SLMV	ST LUKES MAGIC VALLEY MEDICAL CENTER	19	1722	535
2021	N007000130	BANNER UNIVERSITY MED CTR-TUCSON CAMPUS	158	12704	5381
2020	N006E63MER	SCRIPPS MERCY HOSPITAL	84	5886	1389
2025	N016COL013	RIVERSIDE METHODIST HOSPITAL	12	11897	2750
2024	N0337018	SAINT FRANCIS HOSPITAL AND MEDICAL CENTER	117	7736	2139
2024	N032B0MASO	ADVOCATE ILLINOIS MASONIC MEDICAL CENTER	88	3746	1528
2025	N036B1RICH	PRISMA HEALTH RICHLAND HOSPITAL	275	12896	2318
2024	N027B7WVUH	J.W. RUBY MEMORIAL HOSPITAL	401	12567	3067
2023	N038B6PURD	PURDUE UNIVERSITY FORT WAYNE - JOSE THEKKINIATH PHD	3	7	
2025	N022CROB	CROZER CHESTER MEDICAL CENTER	34	1125	214
2025	N038B7CARN	ARNETT HOSPITAL	75	2137	640
2024	N0115427	AIR METHODS - HIGHLAND	18	34	
2022	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	233	6812	1961
2022	N020S98DRM	ST GEORGE REGIONAL MEDICAL CENTER	52	3836	1353
2022	N022XHF	CAPITAL HEALTH SYSTEM-FULD CAMPUS	23	2421	565
2025	N0075237	AIR METHODS OREM	22	36	
2022	N009N8DHMC	DENVER HEALTH MEDICAL CENTER	35	6075	670
2024	N035N1UNVA	UNIVERSITY OF VIRGINIA MEDICAL CENTER	32	16723	7505
2020	N0041039	MASSACHUSETTS GENERAL HOSPITAL	13	21640	4423
2024	N0075230	AIR METHODS PARKER	18	36	
2025	N001AM004	AIR METHODS JOHNSTOWN	16	62	
2023	N006B4HUNT	HUNTINGTON MEMORIAL HOSPITAL	38	4567	1771
2020	N006E63UCS	UC SAN DIEGO HEALTH - HILLCREST	94	6367	2638
2025	N020S98LRH	LOGAN REGIONAL HOSPITAL	76	1560	300
2021	N027B8TMCB	HERITAGE VALLEY BEAVER	4	4129	557
2024	N02911027	RIVERSIDE REGIONAL MEDICAL CENTER	46	5774	770
2023	N022WTD	JEFFERSON WASHINGTON TOWNSHIP HOSPITAL	7	2633	448
2024	N030B48001	GEISINGER WYOMING VALLEY MEDICAL CENTER	530	3044	233
2025	N049T3901T	MEDICAL CITY PLANO	321	10203	1326
2024	N006B9CELB	CEDARS-SINAI MEDICAL CENTER	381	13593	4749
2024	N0065020	AIR METHODS FORT HUNTER LIGGETT	5	23	
2024	N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	1667	19123	8223
2025	N003B1HNRY	PIEDMONT HENRY HOSPITAL	137	6457	989
2020	N009N8UCMC	UCHEALTH UNIVERSITY OF COLORADO HOSPITAL	98	1218	1269
2021	N027B9CAMC	CHARLESTON AREA MEDICAL CENTER	10	13440	3033
2023	N042C00019	METRO HEALTH MEDICAL CENTER-CLEVELAND	4	9513	1119
2023	N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	21	23593	7395
2024	N04900068D	ST JOHN MEDICAL CENTER	216	8324	1974
2023	N003B4MCMA	ATRIUM HEALTH NAVICENT	12	11098	1690
2022	N002B19398	WESLEY MEDICAL CENTER	24	5212	831
2024	N027B1CVMH	CONEMAUGH MEMORIAL MEDICAL CENTER	170	4724	802
2024	N035N1VCU	VCU MEDICAL CENTER	218	26160	11597
2025	N02911009	SENTARA VIRGINIA BEACH GENERAL HOSPITAL	74	3892	1049
2021	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	225	11638	2541
2021	N053B0HOPK	JOHNS HOPKINS HOSPITAL	0	38485	12970
2025	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	24	1333	528
2023	N0337019	SAINT MARYS HOSPITAL	1	2700	621
2021	N022NJSTJH	ST. JOSEPH'S UNIVERSITY MEDICAL CENTER	8	7839	1386
2020	N011B1BARN	BARNES-JEWISH HOSPITAL	12	41000	15604
2024	N084UCDAV	UC DAVIS MEDICAL CENTER	136	16261	12386
2022	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	114	19690	3532
2024	N053B1GWUH	GEORGE WASHINGTON UNIV HOSP	339	8558	1446
2025	N011126	CBC OF GREATER KANSAS CITY	25	894	
2025	N020S98UVR	UTAH VALLEY HOSPITAL	260	2599	1176
2019	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	24	16288	2145
2020	N0041517	NSMC SALEM HOSPITAL	7	4458	662
2022	N02920010	ECU HEALTH	8	1016	360
2024	N011B9REMC	RESEARCH MEDICAL CENTER-KANSAS CITY	107	5155	925
2025	N0065004	AIR METHODS FULLERTON	2	36	
2020	N02911021	SENTARA NORFOLK GENERAL HOSPITAL	4	13840	2438
2023	N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	150	40614	10234
2025	N0041074	BOSTON MEDICAL CENTER	95	332	14
2023	N053B0UMHC	UNIV OF MARYLAND HOSPITAL	156	28750	9829
2025	N022XAG	LEHIGH VALLEY CEDAR CREST	431	6881	1308
2020	N016COL008	GRANT MEDICAL CENTER	6	7546	996
2021	N084B4MUIR	JOHN MUIR MED CTR-WALNUT CREEK CAMPUS	43	6292	1609
2019	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	71	5228	1322
2022	N036B1MUSC	MEDICAL UNIVERSITY OF SC	6	18117	7560
2024	N021P01155	HARBORVIEW MEDICAL CENTER	871	893	318
2023	N0176602	AIR METHODS BLACK HILLS LIFE FLIGHT - FIXED WING	11	44	
2024	N021P00001	OHSU HOSPITAL	1758	15734	9434
2025	N021P00306	SALEM HEALTH	79	8865	1841
2023	N007000130	BANNER UNIVERSITY MED CTR-TUCSON CAMPUS	436	13424	5451
2021	N006E63MER	SCRIPPS MERCY HOSPITAL	19	5786	1380
2022	N016COL013	RIVERSIDE METHODIST HOSPITAL	4	9327	1304
2024	N0075228	AIR METHODS - FORT MOHAVE	17	38	
2022	N036B1RICH	PRISMA HEALTH RICHLAND HOSPITAL	40	12474	2679
2020	N027B7WVUH	J.W. RUBY MEMORIAL HOSPITAL	67	16588	2825
2024	N038B6PURD	PURDUE UNIVERSITY FORT WAYNE - JOSE THEKKINIATH PHD	3	8	
2024	N022CROB	CROZER CHESTER MEDICAL CENTER	82	3376	682
2025	N038B7METI	RILEY HOSPITAL FOR CHILDREN	132	21943	6837
2025	N0115427	AIR METHODS - HIGHLAND	21	31	
2024	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	1047	7323	2240
2024	N020S98DRM	ST GEORGE REGIONAL MEDICAL CENTER	389	4454	1396
2024	N0075237	AIR METHODS OREM	24	38	
2025	N009N8DHMC	DENVER HEALTH MEDICAL CENTER	333	5948	557
2023	N0041039	MASSACHUSETTS GENERAL HOSPITAL	6	17150	5378
2024	N001AM004	AIR METHODS JOHNSTOWN	21	55	
2025	N006B4HUNT	HUNTINGTON MEMORIAL HOSPITAL	61	5095	1502
2024	N006E63UCS	UC SAN DIEGO HEALTH - HILLCREST	278	6330	2662
2024	N020S98LRH	LOGAN REGIONAL HOSPITAL	102	1487	346
2024	N027B8TMCB	HERITAGE VALLEY BEAVER	43	2909	370
2022	N02911027	RIVERSIDE REGIONAL MEDICAL CENTER	2	5975	723
2025	N022WTD	JEFFERSON WASHINGTON TOWNSHIP HOSPITAL	23	3405	367
2024	N022XRW	ROBERT WOOD JOHNSON UNIV HOSPITAL - NEW BRUNSWICK	183	10720	4087
2020	N049T3901T	MEDICAL CITY PLANO	37	7459	1241
2025	N006B9CELB	CEDARS-SINAI MEDICAL CENTER	269	12745	5057
2020	N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	250	20269	7029
2021	N009N8UCMC	UCHEALTH UNIVERSITY OF COLORADO HOSPITAL	32	2487	1734
2022	N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	581	24556	7221
2025	N04900068D	ST JOHN MEDICAL CENTER	160	9691	2550
2021	N003B4MCMA	ATRIUM HEALTH NAVICENT	162	11994	1670
2024	N002B19398	WESLEY MEDICAL CENTER	116	5758	1240
2021	N027B1CVMH	CONEMAUGH MEMORIAL MEDICAL CENTER	8	5034	1216
2025	N035N1VCU	VCU MEDICAL CENTER	249	27715	13972
2020	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	188	10755	2587
2024	N053B0HOPK	JOHNS HOPKINS HOSPITAL	274	40558	14344
2022	N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	5	1528	502
2024	N0337019	SAINT MARYS HOSPITAL	47	2794	531
2024	N049T0096T	BROOKE ARMY MEDICAL CENTER	20	80	
2022	N011B1BARN	BARNES-JEWISH HOSPITAL	28	37456	13963
2019	N040B0ADVC	ADVOCATE CHRIST MEDICAL CENTER	8	9955	1814
2023	N053B1GWUH	GEORGE WASHINGTON UNIV HOSP	6	9369	1500
2024	N041ASESRS	SOUTHEAST SHELBY RESCUE	100	152	
2024	N020S98UVR	UTAH VALLEY HOSPITAL	365	2180	1144
2021	N049T0062C	BAYLOR UNIVERSITY MEDICAL CTR AT DALLAS	62	16197	1912
2022	N0041517	NSMC SALEM HOSPITAL	33	4514	645
2025	N011B9REMC	RESEARCH MEDICAL CENTER-KANSAS CITY	138	5739	841
2024	N02911021	SENTARA NORFOLK GENERAL HOSPITAL	224	15477	3203
2019	N041A10206	UNIVERSITY HOSPITAL-BIRMINGHAM	77	32249	8319
2022	N0041074	BOSTON MEDICAL CENTER	10	1453	71
2020	N053B0UMHC	UNIV OF MARYLAND HOSPITAL	23	31667	9880
2021	N022XAG	LEHIGH VALLEY CEDAR CREST	5	2625	757
2024	N084B4MUIR	JOHN MUIR MED CTR-WALNUT CREEK CAMPUS	109	5806	1280
2020	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	49	6000	1380
2022	N021P01155	HARBORVIEW MEDICAL CENTER	144	439	309
2022	N021P00001	OHSU HOSPITAL	352	14498	8199
2024	N021P00306	SALEM HEALTH	102	8922	2004
2024	N007000130	BANNER UNIVERSITY MED CTR-TUCSON CAMPUS	551	13184	4820
2022	N006E63MER	SCRIPPS MERCY HOSPITAL	20	5307	1275
2021	N016COL013	RIVERSIDE METHODIST HOSPITAL	3	11608	1227
2025	N0075228	AIR METHODS - FORT MOHAVE	16	36	
2025	N0075223	AIR METHODS SHOW LOW	25	52	
2025	N038B6PURD	PURDUE UNIVERSITY FORT WAYNE - JOSE THEKKINIATH PHD	1	2	
2025	N003B1SRMC	SOUTHERN REGIONAL MEDICAL CENTER	18	1177	52
2023	N038B7METI	RILEY HOSPITAL FOR CHILDREN	16	24515	7604
2024	N0065031	AIR METHODS BARSTOW	38	61	
2019	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	483	8707	1811
2021	N020S98DRM	ST GEORGE REGIONAL MEDICAL CENTER	27	4186	1531
2024	N009N8DHMC	DENVER HEALTH MEDICAL CENTER	404	5498	574
2019	N0041039	MASSACHUSETTS GENERAL HOSPITAL	6	19100	4583
2025	N027B8TMCB	HERITAGE VALLEY BEAVER	36	2585	336
2021	N02911027	RIVERSIDE REGIONAL MEDICAL CENTER	1	5424	669
2025	N022XRW	ROBERT WOOD JOHNSON UNIV HOSPITAL - NEW BRUNSWICK	176	11948	4687
2018	N006B9CELB	CEDARS-SINAI MEDICAL CENTER	12	8885	3762
2022	N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	86	19060	6726
2025	N009N8UCMC	UCHEALTH UNIVERSITY OF COLORADO HOSPITAL	256	5986	1743
2021	N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	180	30024	7001
2022	N04900068D	ST JOHN MEDICAL CENTER	25	7524	1568
2022	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	148	10754	2596
2023	N053B0HOPK	JOHNS HOPKINS HOSPITAL	52	39546	14957
2025	N003B6PMID	PIEDMONT COLUMBUS REGIONAL MIDTOWN HOSP	23	5792	1182
2025	N0337019	SAINT MARYS HOSPITAL	65	2754	539
2025	N049T0096T	BROOKE ARMY MEDICAL CENTER	64	198	
2021	N022LVHM	LEHIGH VALLEY HOSPITAL - MUHLENBERG	3	610	208
2025	N041ASESRS	SOUTHEAST SHELBY RESCUE	152	208	
2022	N020S98UVR	UTAH VALLEY HOSPITAL	31	2711	1268
2024	N016CTY017	MANSFIELD HOSPITAL	19	3317	806
2025	N0041517	NSMC SALEM HOSPITAL	174	3866	656
2024	N0044001	AIR METHODS FITCHBURG	41	98	
2024	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	3476	22600	1470
2024	N0115422	AIR METHODS EFFINGHAM	20	41	
2022	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	37	5449	1406
2025	N021P01155	HARBORVIEW MEDICAL CENTER	756	1075	312
2021	N021P00001	OHSU HOSPITAL	690	16140	8783
2023	N021P00306	SALEM HEALTH	56	9352	2071
2020	N007000130	BANNER UNIVERSITY MED CTR-TUCSON CAMPUS	66	10731	4995
2023	N006E63MER	SCRIPPS MERCY HOSPITAL	37	4937	1149
2024	N016COL013	RIVERSIDE METHODIST HOSPITAL	11	10277	2092
2023	N003B2NEGA	NORTHEAST GEORGIA MEDICAL CTR-GAINESVILLE	51	9156	1530
2024	N0075223	AIR METHODS SHOW LOW	17	44	
2024	N038B7METI	RILEY HOSPITAL FOR CHILDREN	117	20825	6707
2023	N0065031	AIR METHODS BARSTOW	1	42	
2023	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	804	7490	2073
2023	N020S98DRM	ST GEORGE REGIONAL MEDICAL CENTER	284	4509	1436
2024	N0041039	MASSACHUSETTS GENERAL HOSPITAL	207	18507	5318
2024	N009N8LL02	UCHEALTH LIFELINE 2	14	46	
2023	N022XRW	ROBERT WOOD JOHNSON UNIV HOSPITAL - NEW BRUNSWICK	13	10555	4933
2020	N006B9CELB	CEDARS-SINAI MEDICAL CENTER	130	12055	3920
2019	N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	731	19871	7802
2025	N0047369	HCA-PORTSMOUTH HOSPITAL	26	3439	817
2021	N04900068D	ST JOHN MEDICAL CENTER	38	8900	2044
2023	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	85	11144	2595
2024	N022LVHM	LEHIGH VALLEY HOSPITAL - MUHLENBERG	21	1169	348
2023	N022EIN	EINSTEIN MEDICAL CENTER PHILADELPHIA	21	7687	1365
2025	N016CTY017	MANSFIELD HOSPITAL	22	2950	769
2025	N013B3SJOP	TRINITY HEALTH OAKLAND HOSPITAL	24	4637	583
2025	N0044001	AIR METHODS FITCHBURG	3	7	
2025	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	3752	23909	1710
2025	N0115422	AIR METHODS EFFINGHAM	16	33	
2018	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	20	5346	1227
2023	N021P01155	HARBORVIEW MEDICAL CENTER	724	779	312
2025	N007000130	BANNER UNIVERSITY MED CTR-TUCSON CAMPUS	299	13998	4661
2025	N006E63MER	SCRIPPS MERCY HOSPITAL	78	5196	1439
2021	N003B2NEGA	NORTHEAST GEORGIA MEDICAL CTR-GAINESVILLE	237	10028	1444
2025	N0065031	AIR METHODS BARSTOW	21	51	
2020	N020S98IMC	INTERMOUNTAIN MEDICAL CENTER	715	6258	1708
2021	N0041039	MASSACHUSETTS GENERAL HOSPITAL	8	23430	6121
2025	N009N8LL02	UCHEALTH LIFELINE 2	34	58	
2024	N0079002	AIR METHODS EL PASO	6	6	
2023	N04900068D	ST JOHN MEDICAL CENTER	51	8066	1964
2019	N022PSB	PENN-PRESBYTERIAN MEDICAL CENTER	120	11020	2846
2025	N022LVHM	LEHIGH VALLEY HOSPITAL - MUHLENBERG	29	1845	592
2021	N022EIN	EINSTEIN MEDICAL CENTER PHILADELPHIA	1	8284	1064
2024	N0217519	AIR METHODS SANTE FE	17	31	
2025	N0075217	AIR METHODS PARKER NATIVE	23	32	
2018	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	59	22401	1786
2025	N006E63SCM	SCRIPPS MEMORIAL HOSPITAL LA JOLLA	83	5077	1422
2021	N021P01155	HARBORVIEW MEDICAL CENTER	102	374	287
2022	N007000130	BANNER UNIVERSITY MED CTR-TUCSON CAMPUS	135	13133	5622
2019	N006E63MER	SCRIPPS MERCY HOSPITAL	108	5243	1359
2022	N003B2NEGA	NORTHEAST GEORGIA MEDICAL CTR-GAINESVILLE	53	9333	1628
2025	N0079002	AIR METHODS EL PASO	29	58	
2025	N022EIN	EINSTEIN MEDICAL CENTER PHILADELPHIA	185	8316	1229
2025	N0217519	AIR METHODS SANTE FE	25	36	
2024	N0075217	AIR METHODS PARKER NATIVE	16	36	
2020	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	138	20307	1468
2018	N006E63MER	SCRIPPS MERCY HOSPITAL	97	5383	1408
2020	N003B2NEGA	NORTHEAST GEORGIA MEDICAL CTR-GAINESVILLE	159	7762	1080
2024	N022EIN	EINSTEIN MEDICAL CENTER PHILADELPHIA	134	8261	1325
2019	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	28	23143	1767
2025	N003B2NEGA	NORTHEAST GEORGIA MEDICAL CTR-GAINESVILLE	386	9785	1559
2022	N022EIN	EINSTEIN MEDICAL CENTER PHILADELPHIA	7	7878	1099
2023	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	96	20990	1455
2024	N003B2NEGA	NORTHEAST GEORGIA MEDICAL CTR-GAINESVILLE	160	9462	1496
2021	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	69	22741	1546
2019	N003B2NEGA	NORTHEAST GEORGIA MEDICAL CTR-GAINESVILLE	24	7725	958
2022	N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA	145	21959	1451
