Master Customer Cd	hospital	Customer Class Dsc	Competitor Txt	Bed Cnt	Surgeries Cnt	Territory Dsc	Physical City name	Physical state code	Physical ZIP code	FIPS	latitude	longitude	HS Region	HS division	cancer_ctr_flg	trauma_ctr_flg	Percent ARC	Customer Integration Customer Class Dsc
N0217508	AIR METHODS ROSWELL	Unclassified				NA	Roswell	NM	88203	35005	   33.309413	 -104.092418	Arizona New Mexico Region	Southwest and Rocky Mountain Division	N	N	Neither	Air Ambulance                           
N0047369	HCA-PORTSMOUTH HOSPITAL	Hospital Customer	Medium	220	12274	Urban	Portsmouth	NH	03801	33015	   43.064036	  -70.78786	Northern New England Region	Northeast Division	Y	Y	RBC Only	Hospital                                
N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	Hospital Customer	High	805	18526	Urban	Chicago	IL	60637	17031	   41.788196	  -87.60449	Illinois Region	North Central Division	Y	Y	Both	Hospital                                
N0047128	UNIVERSITY OF VERMONT MEDICAL CENTER	Hospital Customer	Medium	562	22255	Urban	Burlington	VT	05401	50007	   44.480764	  -73.20069	Northern New England Region	Northeast Division	Y	Y	Neither	Hospital                                
N002B19398	WESLEY MEDICAL CENTER	Hospital Out of Region	Medium	859	17202	Urban	Wichita	KS	67214	20173	   37.695542	  -97.29906	Kansas Oklahoma Region	Southwest and Rocky Mountain Division	N	Y	Both	Hospital                                
N0122225	DUMC DUKE UNIVERSITY MEDICAL CENTER	Hospital Out of Region	Medium	960	38334	Urban	Durham	NC	27710	37063	   36.008249	  -78.93738	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N053B0HOPK	JOHNS HOPKINS HOSPITAL	Others	Medium	1095	58423	Urban	Baltimore	MD	21287	24510	   39.2973	  -76.59344	National Capital and Greater Chesapeake Region	Central Atlantic Division	N	Y	Both	Hospital                                
N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM		Medium	188	22519	Urban	Philadelphia	PA	19134	42101	   39.989604	  -75.109091	Southeastern Pennsylvania Region	Northeast Division	N	N	Neither	Hospital                                
N022CHL	CHILDREN'S HOSPITAL OF PHILADELPHIA	EO-Emerging Offerings	Medium	564	21019	Urban	Philadelphia	PA	19104	42101	   39.948522	  -75.19331	Southeastern Pennsylvania Region	Northeast Division	N	N	Neither	Hospital                                
N011B1BARN	BARNES-JEWISH HOSPITAL		High	1431	38697	Urban	Saint Louis	MO	63110	29510	   38.634772	  -90.26323	Missouri Arkansas Region	Southwest and Rocky Mountain Division	Y	Y	Both	Hospital                                
N001B1AMCH	ALBANY MEDICAL CENTER HOSPITAL	Hospital Customer	Medium	748	27589	Urban	Albany	NY	12208	36001	   42.653215	  -73.77388	Eastern New York Region	Northeast Division	Y	Y	Neither	Hospital                                
N007OR3781	PHI ORACLE AZ	Hospital Customer				Urban	Oracle	AZ	85623	04021			Arizona New Mexico Region	Southwest and Rocky Mountain Division	N	N	Neither	Air Ambulance                           
N011B9OVER	OVERLAND PARK REGIONAL MEDICAL CENTER	Hospital Customer	Medium	351	13366	Urban	Lenexa	KS	66215	20091	   38.937669	  -94.7237	Missouri Arkansas Region	Southwest and Rocky Mountain Division	N	Y	RBC Only	Hospital                                
N022XAD	NEMOURS CHILDREN'S HOSPITAL	EO-Emerging Offerings	Medium	260	12055	Urban	Wilmington	DE	19899	10003	   39.782311	  -75.55516	National Capital and Greater Chesapeake Region	Central Atlantic Division	Y	N	Neither	Hospital                                
N024000425	UNIVERSITY OF LOUISVILLE HOSPITAL ULH	Hospital Out of Region	High	404	12438	Urban	Louisville	KY	40202	21111	   38.248719	  -85.745	Kentucky Region	Central Atlantic Division	Y	Y	Both	Hospital                                
N0065005	AIR METHODS OCEANSIDE	Unclassified				Urban	Oceanside	CA	92058	06073			Southern California Region	Pacific Division	N	N	Neither	Air Ambulance                           
N016CTY017	MANSFIELD HOSPITAL	Hospital Out of Region	Low	368	5103	Urban	Mansfield	OH	44903	39139	   40.753359	  -82.52992	Central and Southern Ohio Region	Central Atlantic Division	Y	Y	Both	Hospital                                
N0041517	NSMC SALEM HOSPITAL	Hospital in Region	Medium	244	12615	Urban	Salem	MA	01970	25009	   42.511477	  -70.90705	Massachusetts Region	Northeast Division	Y	N	Both	Hospital                                
N0044001	AIR METHODS FITCHBURG	Hospital Customer				Urban	Fitchburg	MA	01420	25027			Massachusetts Region	Northeast Division	N	N	Neither	Air Ambulance                           
N021104	BLOOD BANK OF ALASKA					NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N027B2LTUN	UPMC ALTOONA	Hospital Customer	Medium	368	26076	Urban	Altoona	PA	16601	42013	   40.521161	  -78.39814	Greater Pennsylvania Region	Northeast Division	Y	Y	Neither	Hospital                                
N003B1GRAD	GRADY MEMORIAL HOSPITAL-ATLANTA		Medium	953	11197	Urban	Atlanta	GA	30303	13121	   33.752178	  -84.3826	Georgia Region	Southeast and Caribbean Division	Y	Y	Neither	Hospital                                
N053B0UMHC	UNIV OF MARYLAND HOSPITAL		Medium	806	19634	Urban	Baltimore	MD	21201	24510	   39.288571	  -76.62364	National Capital and Greater Chesapeake Region	Central Atlantic Division	Y	Y	Both	Hospital                                
N602181	METROPOLITAN BLOOD SERVICES	External Blood Bank Customers	Low			Urban	Yonkers	NY	10704	36119			Greater New York Region	Northeast Division	N	N	Neither	Non RC Blood Center                     
N022TEM	TEMPLE UNIVERSITY HOSPITAL	Researchers	Medium	732	30008	Urban	Philadelphia	PA	19140	42101	   40.00469	  -75.15223	Southeastern Pennsylvania Region	Northeast Division	Y	Y	Neither	Hospital                                
N0122120	CAPE FEAR VALLEY MEDICAL CENTER	Hospital Customer		634	14424	Urban	Fayetteville	NC	28304	37051			North Carolina Region	Southeast and Caribbean Division	Y	N	Neither	Hospital                                
N004210	RHODE ISLAND BLOOD CENTER	Researchers				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N013B5UMMC	UNIVERSITY OF MICHIGAN HOSPITALS	Hospital Out of Region	Medium	1000	35336	Urban	Ann Arbor	MI	48109	26161	   42.285348	  -83.72955	Michigan Region	North Central Division	N	Y	Both	Hospital                                
N021P00001	OHSU HOSPITAL	External Blood Bank Customers	High	576	30383	Urban	Portland	OR	97239	41051	   45.499476	 -122.68543	Cascades Region	Pacific Division	Y	Y	Both	Hospital                                
N001001140	URMC-STRONG MEMORIAL HOSPITAL	Miscellaneous	Medium	886	47521	Urban	Rochester	NY	14642	36055	   43.123034	  -77.62347	Western New York Region	Northeast Division	Y	Y	Both	Hospital                                
N049T0300F	BAYLOR SCOTT AND WHITE MEDICAL CTR-PLANO	Hospital in Region	High	160	6165	Urban	Plano	TX	75093	48085	   33.014344	  -96.79073	North Texas Region	Southwest and Rocky Mountain Division	Y	N	Both	Hospital                                
N0337018	SAINT FRANCIS HOSPITAL AND MEDICAL CENTER	Hospital in Region	Medium	617	28498	Urban	Hartford	CT	06105	09003	   41.775047	  -72.69946	Connecticut Rhode Island Region	Northeast Division	Y	Y	Both	Hospital                                
N003B1SRMC	SOUTHERN REGIONAL MEDICAL CENTER	Hospital Customer	Medium	331	8193	Urban	Riverdale	GA	30274	13063	   33.554561	  -84.399687	Georgia Region	Southeast and Caribbean Division	Y	N	Neither	Hospital                                
N038B7CARN	ARNETT HOSPITAL	Hospital in Region	High	172	7647	Urban	Lafayette	IN	47905	18157	   40.403021	  -86.80716	Indiana Region	North Central Division	Y	N	Both	Hospital                                
N019058000	VANDERBILT UNIVERSITY MEDICAL CENTER	Hospital Out of Region	Medium	1025	50744	Urban	Nashville	TN	37232	47037	   36.141381	  -86.80199	Tennessee Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N0122425	UNC MEDICAL CENTER	Hospital Customer	Medium	923	30184	Urban	Chapel Hill	NC	27514	37135	   35.903641	  -79.05222	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N017177	MEMORIAL BLOOD CENTERS OF MINNEAPOLIS	Hospital in Region				NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N038B7BALL	BALL MEMORIAL HOSPITAL	Hospital Customer	High	371	11140	Urban	Muncie	IN	47303	18035	   40.197617	  -85.41499	Indiana Region	North Central Division	Y	N	Both	Hospital                                
N022183	MILLER MEMORIAL BLOOD CENTER					NA							TBD	TBD	N	N	Neither	Non RC Blood Center                     
N0122420	WAKE FOREST BAPTIST MEDICAL CENTER	Hospital Out of Region	Medium	885	34412	Urban	Winston Salem	NC	27157	37067	   36.090002	  -80.27149	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N030B08001	GEISINGER COMMUNITY MEDICAL CENTER	Hospital in Region	Medium	293	7350	Urban	Scranton	PA	18510	42069	   41.400718	  -75.64586	Greater Pennsylvania Region	Northeast Division	Y	Y	Neither	Hospital                                
N0047369	HCA-PORTSMOUTH HOSPITAL	Hospital in Region	Medium	220	12274	Urban	Portsmouth	NH	03801	33015	   43.064036	  -70.78786	Northern New England Region	Northeast Division	Y	Y	RBC Only	Hospital                                
N040B0UCHI	THE UNIVERSITY OF CHICAGO MEDICAL CENTER	Non RC Blood Centers	High	805	18526	Urban	Chicago	IL	60637	17031	   41.788196	  -87.60449	Illinois Region	North Central Division	Y	Y	Both	Hospital                                
N0047128	UNIVERSITY OF VERMONT MEDICAL CENTER	External Blood Bank Customers	Medium	562	22255	Urban	Burlington	VT	05401	50007	   44.480764	  -73.20069	Northern New England Region	Northeast Division	Y	Y	Neither	Hospital                                
N0122225	DUMC DUKE UNIVERSITY MEDICAL CENTER	Hospital in Region	Medium	960	38334	Urban	Durham	NC	27710	37063	   36.008249	  -78.93738	North Carolina Region	Southeast and Caribbean Division	Y	Y	Both	Hospital                                
N053B0HOPK	JOHNS HOPKINS HOSPITAL		Medium	1095	58423	Urban	Baltimore	MD	21287	24510	   39.2973	  -76.59344	National Capital and Greater Chesapeake Region	Central Atlantic Division	N	Y	Both	Hospital                                
N022SCHB	ST CHRISTOPHER'S HOSP FOR CHILDREN/ TOWER HEALTH SYSTEM	Hospital Customer	Medium	188	22519	Urban	Philadelphia	PA	19134	42101	   39.989604	  -75.109091	Southeastern Pennsylvania Region	Northeast Division	N	N	Neither	Hospital                                
